published_date,sentiment,num_of_articles,open,high,low,close,volume,%chg_openclose,%chg_openclose_lag1,%chg_openclose_lead1
2020-12-14,85.94,153,619.0,642.7499,610.2001,639.83,52040649.0,3.37,0.0,-1.56
2020-12-15,89.63,154,643.28,646.9,623.8,633.25,45223559.0,-1.56,3.37,-0.87
2020-12-16,87.83,139,628.23,632.5,605.0,622.77,42095813.0,-0.87,-1.56,4.41
2020-12-17,87.85,146,628.19,658.82,619.5,655.9,56270144.0,4.41,-0.87,3.9
2020-12-18,86.75,172,668.9,695.0,628.54,695.0,222126194.0,3.9,4.41,
2020-12-19,85.11,125,,,,,,,3.9,
2020-12-20,84.73,103,,,,,,,,-2.46
2020-12-21,84.83,190,666.24,668.5,646.07,649.86,58045264.0,-2.46,,-1.18
2020-12-22,85.35,172,648.0,649.88,614.23,640.34,51861644.0,-1.18,-2.46,2.18
2020-12-23,84.7,189,632.2,651.4999,622.5701,645.98,33172972.0,2.18,-1.18,2.92
2020-12-24,84.74,124,642.99,666.09,641.0,661.77,22865568.0,2.92,2.18,
2020-12-25,84.84,62,,,,,,,2.92,
2020-12-26,88.42,72,,,,,,,,
2020-12-27,87.89,74,,,,,,,,-1.6
2020-12-28,87.69,155,674.51,681.4,660.8,663.69,31553561.0,-1.6,,0.75
2020-12-29,83.34,161,661.0,669.9,655.0,665.99,22910811.0,0.75,-1.6,3.39
2020-12-30,83.85,135,672.0,696.6,668.3603,694.78,42846021.0,3.39,0.75,0.81
2020-12-31,84.25,146,699.99,718.72,691.12,705.67,49649928.0,0.81,3.39,
2021-01-01,86.47,104,,,,,,,0.81,
2021-01-02,88.13,120,,,,,,,,
2021-01-03,88.81,99,,,,,,,,1.43
2021-01-04,87.59,168,719.46,744.4899,717.1895,729.77,48638189.0,1.43,,1.58
2021-01-05,83.86,160,723.66,740.84,719.2,735.11,32245165.0,1.58,1.43,-0.33
2021-01-06,82.59,165,758.49,774.0,749.1,755.98,44699965.0,-0.33,1.58,4.94
2021-01-07,83.21,235,777.63,816.99,775.2,816.04,51498948.0,4.94,-0.33,2.81
2021-01-08,83.88,247,856.0,884.49,838.39,880.02,75055528.0,2.81,4.94,
2021-01-09,84.87,159,,,,,,,2.81,
2021-01-10,84.71,158,,,,,,,,-4.5
2021-01-11,85.33,207,849.4,854.43,803.6222,811.19,59554146.0,-4.5,,2.22
2021-01-12,84.78,230,831.0,868.0,827.34,849.44,45985569.0,2.22,-4.5,
2021-01-13,86.37,31,,,,,,,2.22,
2021-01-14,85.63,11,,,,,,,,0.0
